0,0,3.2,0,0,0.707,0.707

2,0,3.2,0,0,0.707,0.707
2,5.6,3.2,0,0,0.707,0.707

0.28571429,5.6,3.2,0,0,0.707,0.707
0.28571429,6.5,3.2,0,0,0.707,0.707

0.85714286,6.5,3.2,0,0,0.707,0.707
0.85714286,7.5,3.2,0,0,0.707,0.707

-1.42857143,7.5,3.2,0,0,0.707,0.707
-1.42857143,8.5,3.2,0,0,0.707,0.707

-1.14285714,8.5,3.2,0,0,0.707,0.707
-1.14285714,9.5,3.2,0,0,0.707,0.707

-2,9.5,3.2,0,0,0.707,0.707
-2,10.5,3.2,0,0,0.707,0.707

-0.57142857,10.5,3.2,0,0,0.707,0.707
-0.57142857,11.5,3.2,0,0,0.707,0.707

-0.85714286,11.5,3.2,0,0,0.707,0.707
-0.85714286,12.5,3.2,0,0,0.707,0.707

1.71428571,12.5,3.2,0,0,0.707,0.707
1.71428571,13.5,3.2,0,0,0.707,0.707

-1.71428571,13.5,3.2,0,0,0.707,0.707
-1.71428571,14.5,3.2,0,0,0.707,0.707

0,14.5,3.2,0,0,0.707,0.707
0,15.5,3.2,0,0,0.707,0.707

1.42857143,15.5,3.2,0,0,0.707,0.707
1.42857143,16.5,3.2,0,0,0.707,0.707

-0.28571429,16.5,3.2,0,0,0.707,0.707
-0.28571429,17.5,3.2,0,0,0.707,0.707

0.57142857,17.5,3.2,0,0,0.707,0.707
0.57142857,18.5,3.2,0,0,0.707,0.707

1.14285714,18.5,3.2,0,0,0.707,0.707
1.14285714,19.5,3.2,0,0,0.707,0.707

0,20,3.2,0,0,0.707,0.707
0,20,0,0,0,0.707,0.707
